Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix,Prix M2
27,1,80,3,1,1,1,0,0,0,0,1,1000,12.50
27,3,72,3,1,1,1,1,0,1,0,0,1000,13.89
27,3,138,5,1,1,1,0,0,0,0,0,1000,7.25
27,3,78,3,1,1,1,0,0,0,0,0,1000,12.82
28,4,148,5,1,1,1,1,1,0,1,1,1000,6.76
2,3,75,4,1,1,1,0,0,0,0,0,1050,14.00
3,3,150,5,0,0,0,0,0,0,0,0,1050,7.00
4,4,66,2,1,0,1,0,0,0,0,0,1050,15.91
4,3,119,5,1,1,1,1,0,1,0,0,1050,8.82
4,2,60,3,0,0,0,0,0,0,1,0,1050,17.50
4,2,120,5,1,1,1,1,0,1,0,0,1050,8.75
5,4,46,2,0,0,0,0,0,0,0,0,1050,22.83
9,1,75,3,1,1,1,1,1,0,0,0,1050,14.00
10,1,78,3,1,1,1,1,0,0,0,0,1050,13.46
11,5,110,4,1,1,1,1,0,0,0,0,1050,9.55
11,1,82,3,0,0,0,0,0,0,0,0,1050,12.80
22,9,130,5,1,1,1,1,1,1,0,1,1050,8.08
22,3,90,3,1,1,1,0,0,0,0,1,1050,11.67
22,4,115,4,1,1,1,1,0,1,0,1,1050,9.13
22,3,90,3,1,1,1,0,0,0,0,1,1050,11.67
22,1,131,4,1,1,1,0,0,0,0,1,1050,8.02
24,1,39,2,0,0,0,1,0,1,0,0,1050,26.92
27,2,99,4,1,1,1,0,1,0,0,1,1050,10.61
2,2,72,3,1,1,1,0,0,0,0,0,1070,14.86
8,2,70,3,1,1,1,0,0,0,0,0,1090,15.57
1,1,91,3,1,1,1,1,0,0,0,0,1250,13.74
1,1,45,2,1,1,1,1,0,1,0,0,1300,28.89
2,3,85,5,1,1,1,0,0,0,0,0,1100,12.94
2,3,75,3,0,0,0,1,0,1,0,0,1100,14.67
2,1,74,3,1,1,1,1,0,1,0,0,1100,14.86
2,2,71,3,0,0,0,0,0,0,0,0,1100,15.49
2,4,72,3,1,1,0,0,0,0,0,0,1100,15.28
3,8,75,3,1,1,1,1,0,0,0,0,1100,14.67
4,2,90,3,1,1,1,1,0,0,0,0,1100,12.22
4,4,110,4,1,1,1,1,0,1,0,0,1100,10.00
4,4,190,7,1,1,1,1,0,1,0,0,1100,5.79
4,3,122,3,1,1,1,1,0,0,0,0,1100,9.02
4,5,30,3,0,1,1,1,0,1,1,0,1100,36.67
4,4,120,5,1,1,1,1,0,1,0,0,1100,9.17
4,3,126,5,1,1,1,1,0,0,1,0,1100,8.73
4,4,100,5,1,1,1,1,0,0,1,0,1100,11.00
4,3,100,5,1,1,1,1,0,1,1,0,1100,11.00
4,5,75,3,1,1,1,0,0,0,0,0,1100,14.67
4,4,95,4,1,1,1,1,0,0,0,0,1100,11.58
4,5,65,3,1,1,1,0,0,0,0,0,1100,16.92
4,3,100,4,1,1,1,0,0,0,0,0,1100,11.00
4,2,55,2,1,1,0,0,0,0,0,0,1100,20.00
5,3,55,2,1,1,1,1,0,0,0,0,1100,20.00
5,1,63,3,1,1,1,1,0,1,0,0,1100,17.46
5,5,85,4,1,1,1,0,0,0,0,0,1100,12.94
5,1,40,2,1,1,1,1,0,1,0,0,1100,27.50
5,4,105,5,1,1,1,1,0,1,0,0,1100,10.48
5,2,70,3,1,1,0,0,0,0,0,0,1100,15.71
5,5,40,3,1,1,1,1,0,1,0,0,1100,27.50
6,4,56,3,1,1,1,1,0,1,0,0,1100,19.64
6,5,121,5,0,0,0,0,0,0,0,0,1100,9.09
6,1,75,3,1,1,1,1,0,0,0,0,1100,14.67
6,3,75,3,1,1,1,0,0,0,0,0,1100,14.67
7,7,76,3,0,0,0,1,0,1,0,0,1100,14.47
7,1,100,4,1,1,1,1,0,0,0,0,1100,11.00
8,2,87,4,1,1,1,1,0,1,0,0,1100,12.64
8,2,70,3,1,1,1,0,0,0,0,0,1100,15.71
8,5,70,3,1,1,1,0,0,0,0,0,1100,15.71
10,4,72,3,1,1,1,1,0,1,0,0,1100,15.28
11,14,115,3,1,1,1,1,0,1,0,1,1100,9.57
11,6,80,3,1,1,1,1,0,0,0,0,1100,13.75
11,3,78,3,1,1,1,0,0,0,0,0,1100,14.10
11,5,90,3,0,0,0,0,0,0,0,0,1100,12.22
12,1,78,3,0,1,1,0,0,0,0,0,1100,14.10
12,2,138,5,0,0,0,0,0,0,0,0,1100,7.97
12,5,46,2,1,1,1,0,0,0,0,0,1100,23.91
12,6,150,5,0,0,0,0,0,0,0,0,1100,7.33
12,1,74,3,0,0,0,1,0,0,0,0,1100,14.86
12,1,170,4,1,1,1,0,1,0,0,0,1100,6.47
12,2,100,4,1,1,1,0,0,0,0,1,1100,11.00
14,5,124,4,1,1,1,1,0,1,0,1,1100,8.87
15,2,94,4,1,1,1,1,0,1,0,0,1100,11.70
15,2,45,2,1,1,1,0,0,0,0,0,1100,24.44
17,1,140,4,1,1,1,1,0,1,0,1,1100,7.86
18,1,67,3,1,1,1,1,0,0,0,0,1100,16.42
20,3,162,5,1,1,1,0,0,0,0,0,1100,6.79
20,5,79,3,1,1,1,0,0,0,0,0,1100,13.92
22,7,123,4,1,1,1,0,0,0,0,0,1100,8.94
22,2,106,4,1,1,1,1,0,1,0,1,1100,10.38
22,4,85,4,1,1,1,0,0,0,0,0,1100,12.94
22,5,120,4,1,1,1,0,0,0,0,0,1100,9.17
22,1,108,4,1,1,1,0,0,0,0,1,1100,10.19
22,1,89,3,1,1,1,0,0,0,0,1,1100,12.36
22,2,64,3,1,1,1,0,0,0,0,0,1100,17.19
22,3,100,4,1,1,1,0,0,0,0,0,1100,11.00
22,2,110,4,0,0,0,0,0,0,0,0,1100,10.00
22,3,75,3,1,1,1,0,0,0,0,0,1100,14.67
25,3,96,4,1,1,1,0,0,0,0,0,1100,11.46
25,2,125,4,1,1,1,1,0,1,0,0,1100,8.80
25,3,80,3,1,1,1,1,0,1,0,0,1100,13.75
25,4,82,3,0,0,0,0,0,0,0,0,1100,13.41
25,3,135,2,1,1,1,1,0,1,0,1,1100,8.15
25,2,105,3,1,1,1,1,0,0,1,1,1100,10.48
25,4,90,3,1,1,1,0,0,0,0,0,1100,12.22
25,2,80,4,1,1,1,1,0,0,0,0,1100,13.75
25,1,135,4,1,1,1,1,0,0,0,0,1100,8.15
25,2,185,5,1,1,1,1,1,1,0,1,1100,5.95
25,1,103,3,1,1,1,1,0,1,0,0,1100,10.68
25,1,122,4,1,1,1,0,0,0,0,1,1100,9.02
25,1,75,3,0,0,0,0,0,0,0,0,1100,14.67
26,2,106,4,1,1,1,0,0,0,0,1,1100,10.38
26,3,117,5,1,1,1,0,1,0,0,0,1100,9.40
27,5,67,3,1,1,1,1,0,0,0,0,1100,16.42
27,1,125,4,0,0,0,0,0,0,0,0,1100,8.80
27,2,101,3,1,1,1,0,0,0,0,1,1100,10.89
28,5,120,4,0,0,0,1,0,1,0,0,1100,9.17
28,4,73,3,1,1,1,1,0,0,0,0,1100,15.07
28,2,112,4,1,1,1,1,1,1,0,0,1100,9.82
5,3,80,4,1,1,1,0,0,0,0,0,1120,14.00
26,2,70,3,1,1,1,0,0,0,0,0,1120,16.00
12,4,106,4,0,0,0,1,0,1,0,0,1140,10.75
27,1,127,4,1,1,1,0,1,0,0,1,1145,9.02
1,1,75,3,1,1,1,0,0,0,0,0,1300,17.33
2,2,78,4,1,1,1,1,0,1,0,0,1150,14.74
4,5,72,4,1,1,1,1,0,0,0,0,1150,15.97
4,6,56,3,0,0,0,0,0,0,0,0,1150,20.54
5,4,60,3,1,1,1,1,0,1,0,0,1150,19.17
5,1,85,3,0,0,0,0,0,0,0,0,1150,13.53
6,2,105,3,1,1,1,1,0,0,0,0,1150,10.95
6,4,120,5,1,1,1,0,0,0,0,0,1150,9.58
8,5,62,3,1,1,1,1,0,1,0,0,1150,18.55
11,3,132,5,1,1,1,0,0,0,0,1,1150,8.71
12,4,64,3,1,1,1,0,0,0,0,0,1150,17.97
12,4,82,4,1,1,1,1,0,0,0,0,1150,14.02
14,3,104,4,1,1,1,1,0,1,0,0,1150,11.06
15,1,74,3,1,1,1,0,0,0,0,0,1150,15.54
23,1,72,3,1,1,1,0,0,1,0,0,1150,15.97
25,4,95,4,1,1,1,1,0,1,0,0,1150,12.11
27,1,145,3,1,1,1,0,0,0,0,1,1150,7.93
27,2,95,3,1,1,1,0,0,0,0,0,1150,12.11
27,1,85,3,1,1,1,1,0,1,0,1,1150,13.53
6,1,100,4,1,1,1,1,1,0,1,0,1180,11.80
1,1,152,5,1,1,1,0,0,0,0,1,1300,8.55
1,1,82,3,1,1,1,1,0,0,0,0,1350,16.46
1,1,56,2,1,1,1,1,0,1,0,0,1400,25.00
1,1,85,3,1,1,1,0,1,0,0,0,1400,16.47
1,1,110,4,1,1,1,1,1,1,0,1,1400,12.73
1,1,170,4,1,1,1,1,0,1,0,1,1400,8.24
2,9,80,3,1,1,1,0,0,0,0,0,1200,15.00
2,6,116,4,1,1,1,1,1,1,0,1,1200,10.34
2,3,120,5,1,1,1,1,0,0,0,0,1200,10.00
2,1,65,2,1,1,1,0,0,0,0,0,1200,18.46
2,3,75,3,1,1,1,1,0,0,0,0,1200,16.00
2,1,73,3,1,1,1,0,0,0,0,1,1200,16.44
2,1,72,3,1,1,1,0,0,1,0,0,1200,16.67
2,1,110,4,1,1,1,0,0,0,0,0,1200,10.91
2,1,75,3,0,0,0,0,0,0,0,0,1200,16.00
2,1,90,4,1,1,1,0,0,0,0,0,1200,13.33
2,1,75,3,1,1,1,1,0,0,0,0,1200,16.00
2,3,113,4,1,1,0,1,0,0,0,0,1200,10.62
2,1,72,3,0,0,0,0,0,0,0,0,1200,16.67
2,3,74,3,1,1,1,0,0,0,0,0,1200,16.22
2,1,99,5,1,1,1,1,0,0,0,0,1200,12.12
3,3,86,3,1,1,1,0,0,0,0,1,1200,13.95
4,4,90,3,1,1,1,1,0,0,0,0,1200,13.33
4,3,140,5,0,0,0,0,0,0,0,0,1200,8.57
4,3,122,3,1,1,1,1,0,0,0,0,1200,9.84
4,1,48,2,1,1,1,1,0,1,0,0,1200,25.00
4,1,70,3,1,1,1,1,0,0,0,0,1200,17.14
4,2,118,4,0,0,0,0,0,0,0,0,1200,10.17
4,6,180,5,0,0,0,0,0,0,0,0,1200,6.67
4,2,65,2,0,0,0,0,0,0,0,0,1200,18.46
4,1,75,4,1,1,1,1,0,1,0,0,1200,16.00
4,2,85,3,1,1,1,1,0,1,0,0,1200,14.12
4,4,70,3,0,0,0,0,0,0,0,0,1200,17.14
4,1,60,2,1,1,1,1,0,1,0,0,1200,20.00
4,3,44,2,1,1,1,1,0,1,0,0,1200,27.27
4,1,100,4,1,1,1,0,0,0,0,0,1200,12.00
4,2,50,2,1,1,1,1,0,0,0,0,1200,24.00
4,4,67,3,1,1,1,1,0,1,0,0,1200,17.91
4,4,80,3,1,1,1,1,0,1,0,0,1200,15.00
4,7,54,2,1,1,1,0,0,0,1,0,1200,22.22
4,5,180,6,1,1,1,0,0,0,0,0,1200,6.67
4,3,90,3,1,1,1,0,0,0,1,0,1200,13.33
5,2,70,3,1,1,1,1,0,1,0,0,1200,17.14
5,1,75,4,1,1,1,1,0,1,0,0,1200,16.00
5,1,42,2,1,1,1,1,0,0,0,0,1200,28.57
5,2,45,2,1,1,1,1,0,0,0,0,1200,26.67
5,1,75,4,1,1,1,0,0,0,0,0,1200,16.00
6,1,120,5,1,1,1,1,1,1,0,0,1200,10.00
6,7,75,3,1,1,1,1,0,1,0,0,1200,16.00
6,6,75,3,1,1,1,1,1,0,0,0,1200,16.00
6,14,137,5,1,1,1,1,0,1,0,1,1200,8.76
6,7,76,3,1,1,1,1,0,1,0,0,1200,15.79
6,6,75,3,1,1,1,1,0,1,0,0,1200,16.00
6,3,75,3,0,0,0,0,0,0,0,0,1200,16.00
6,3,100,5,1,1,1,1,0,1,0,0,1200,12.00
6,14,140,5,1,1,1,1,0,1,0,0,1200,8.57
6,1,83,4,1,1,1,1,0,1,0,0,1200,14.46
6,3,120,4,1,1,1,1,0,1,0,1,1200,10.00
6,2,77,3,1,1,1,0,0,0,0,0,1200,15.58
6,5,115,4,1,1,1,1,0,1,0,0,1200,10.43
6,6,75,3,1,1,1,1,0,1,0,0,1200,16.00
6,1,80,3,1,1,1,0,0,0,1,0,1200,15.00
7,2,95,3,1,1,1,0,0,0,0,0,1200,12.63
7,1,75,3,1,1,1,0,0,0,0,0,1200,16.00
7,1,75,3,1,1,1,0,0,0,0,0,1200,16.00
7,1,98,4,1,1,1,0,0,0,0,0,1200,12.24
7,3,75,3,1,1,1,0,0,0,0,0,1200,16.00
8,5,70,3,1,1,1,1,0,1,0,0,1200,17.14
8,4,62,3,1,1,1,1,0,1,0,0,1200,19.35
8,4,80,4,1,1,1,0,0,0,0,0,1200,15.00
