Quartier,Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
Belle Vue,Ain Benian,5.0,70,3.0,1,1,1,1,0,0,0,0,1400.0
Dafos  300 m center ville ,Ain Benian,5.0,70,3.0,1,1,1,0,0,0,0,0,1450.0
cite belle vue (aadl) ain benian alger,Ain Benian,8.0,95,4.0,1,1,1,1,0,0,0,0,1550.0
staoueli,Ain Benian,4.0,140,5.0,1,1,1,1,0,0,0,0,1650.0
a 300 m de l'cole superieure de l'hotelerie ,Ain Benian,2.0,80,3.0,1,1,1,1,0,0,0,0,1400.0
Coopemad ,Ain Benian,2.0,90,4.0,1,1,1,1,0,1,0,0,1500.0
ain benian,Ain Benian,1.0,80,3.0,1,1,1,0,0,0,0,0,1350.0
(casino)     ,Ain Benian,1.0,122,3.0,1,1,1,0,0,0,0,1,1800.0
LSP,Ain Benian,3.0,76,3.0,1,1,1,0,0,0,1,0,1700.0
Belle-vue,Ain Benian,4.0,75,3.0,1,1,1,0,0,0,1,0,2000.0
Ain benian belle vue,Ain Benian,2.0,85,3.0,1,1,1,0,0,0,1,0,1400.0
Cit 171 logts LSP ain benian,Ain Benian,1.0,76,3.0,1,1,1,1,0,0,0,0,1600.0
belvue,Ain Benian,2.0,80,3.0,1,1,1,1,0,0,0,0,1750.0
COOPEMAD,Ain Benian,4.0,104,3.0,1,1,1,1,0,1,0,0,1400.0
calme ,Ain Benian,1.0,91,3.0,1,1,1,0,0,0,0,0,1600.0
belle vue,Ain Benian,5.0,85,4.0,1,1,1,0,0,0,0,0,1900.0
LSP ain benian face ecole de police .,Ain Benian,5.0,75,3.0,1,1,1,0,0,1,1,0,1800.0
Copemad 2,Ain Benian,3.0,77,4.0,0,0,0,0,0,0,0,0,1350.0
Cit El Djamila,Ain Benian,1.0,152,5.0,1,1,1,0,0,0,0,1,1000.0
ain benian,Ain Benian,1.0,75,3.0,1,0,1,0,0,0,0,0,2000.0
500 logement ,Ain Benian,2.0,78,3.0,1,1,1,0,0,0,0,0,1720.0
Ainbenian,Ain Benian,6.0,75,3.0,1,1,1,0,0,0,0,0,1550.0
cit AADL belle vue,Ain Benian,1.0,85,4.0,1,1,1,0,0,0,0,0,1500.0
290 logts lsp batigec,Ain Benian,8.0,75,3.0,1,1,1,0,0,0,0,0,1500.0
hammamet,Ain Benian,2.0,70,3.0,1,1,1,0,0,0,0,0,1000.0
hammamat ,Ain Benian,5.0,78,4.0,1,1,1,0,0,0,0,1,1300.0
COPEMADE ,Ain Benian,3.0,85,4.0,1,1,1,0,0,0,0,0,1500.0
hamamat ,Ain Benian,2.0,1,3.0,1,1,1,0,0,0,0,0,1550.0
Coopemad ,Ain Benian,2.0,88,4.0,1,1,1,0,0,0,0,0,2074.0
la madrague,Ain Benian,2.0,70,3.0,1,1,1,0,0,0,0,0,1989.0
CITE 290 LOGEMENTS BT A3 N24,Ain Benian,6.0,90,4.0,1,1,1,0,0,0,0,0,1700.0
devent les pompie,Ain Benian,2.0,75,4.0,0,0,0,0,0,0,0,0,2460.6
Ain benian,Ain Benian,5.0,92,3.0,1,1,1,0,0,0,0,1,1900.0
C nep en fae le march,Ain Naadja,4.0,75,3.0,1,1,1,1,0,1,0,0,1300.0
Cite 1074 chateaux d'eaux,Ain Naadja,3.0,76,3.0,1,1,1,1,0,0,0,0,1800.0
Bourouba  Bachdjerrah ,Ain Naadja,3.0,90,3.0,1,1,1,1,0,0,0,1,1750.0
rsidentiel,Ain Naadja,3.0,128,3.0,1,1,1,0,0,0,0,1,1350.0
cote terminus des bus,Ain Naadja,4.0,82,3.0,1,1,1,1,0,0,0,0,1700.0
cit 1306 logts ,Ain Naadja,2.0,78,4.0,1,1,1,1,0,1,0,0,1500.0
les barbares ,Ain Naadja,1.0,73,3.0,1,1,1,0,0,0,0,0,2100.0
cete 358 cnep ain naadja,Ain Naadja,1.0,90,4.0,1,1,1,0,0,0,0,0,2700.0
630 logts ,Ain Naadja,3.0,118,5.0,1,1,1,0,0,0,0,0,1500.0
AIN NAADJA TERMINUS,Ain Naadja,3.0,83,4.0,1,1,1,0,0,0,0,0,1700.0
630 logts,Ain Naadja,3.0,75,3.0,1,1,1,1,0,0,0,0,1400.0
 Ain naadja terminus ,Ain Naadja,4.0,60,2.0,0,0,0,0,0,0,0,0,1350.0
ain naadja el kdima ,Ain Naadja,3.0,93,3.0,1,1,1,0,1,0,0,0,2500.0
Sefsafa,Ain Naadja,1.0,100,4.0,1,1,1,0,0,0,0,1,1300.0
ain naadja,Ain Naadja,3.0,85,3.0,0,0,0,1,0,1,0,0,2650.0
CITE EPLF 224 LOGEMENT ,Ain Naadja,1.0,100,4.0,1,1,1,1,1,0,1,0,1400.0
chateau d 'eau,Ain Naadja,2.0,75,3.0,1,1,1,1,0,1,0,0,1500.0
ain melha,Ain Naadja,2.0,90,4.0,1,1,1,0,0,1,0,0,1400.0
Melha,Ain Naadja,9.0,80,3.0,1,1,1,0,0,0,0,0,1900.0
