Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
1,3.0,72,3.0,0,0,0,0,0,0,0,0,1000.0
1,1.0,152,5.0,1,1,1,0,0,0,0,1,1300.0
1,1.0,75,3.0,1,0,1,0,0,0,0,0,1500.0
1,1.0,85,4.0,1,1,1,0,0,0,0,0,2142.0
1,5.0,78,4.0,1,1,1,0,0,0,0,1,1500.0
1,3.0,85,4.0,1,1,1,0,0,0,0,0,1400.0
1,3.0,85,4.0,1,1,1,0,0,0,0,0,1800.0
1,2.0,88,4.0,1,1,1,0,0,0,0,0,1700.0
1,3.0,65,3.0,1,1,1,0,0,0,0,0,1500.0
1,6.0,90,4.0,1,1,1,0,0,0,0,0,1500.0
1,2.0,75,4.0,0,0,0,0,0,0,0,0,1250.0
1,2.0,85,4.0,1,1,1,0,0,0,0,0,2300.0
1,5.0,92,3.0,1,1,1,0,0,0,0,1,1350.0
1,2.0,83,4.0,1,1,1,1,0,0,0,0,1250.0
2,11.0,80,3.0,0,0,0,0,0,0,0,0,1300.0
2,3.0,128,3.0,1,1,1,0,0,0,0,1,1600.0
2,4.0,82,3.0,1,1,1,1,0,0,0,0,1400.0
2,5.0,125,5.0,1,0,1,1,0,0,1,0,1900.0
2,2.0,78,4.0,1,1,1,1,0,1,0,0,1150.0
2,1.0,90,4.0,1,1,1,0,0,0,0,0,1500.0
2,3.0,118,5.0,1,1,1,0,0,0,0,0,1400.0
2,3.0,83,4.0,1,1,1,0,0,0,0,0,1500.0
2,3.0,75,3.0,1,1,1,1,0,0,0,0,1600.0
2,4.0,88,3.0,1,1,1,1,0,1,0,1,1650.0
2,3.0,120,5.0,1,1,1,0,0,0,0,0,1650.0
2,2.0,75,3.0,1,1,1,1,0,0,0,0,1000.0
2,3.0,93,3.0,1,1,1,0,1,0,0,0,1300.0
2,1.0,100,4.0,1,1,1,0,0,0,0,1,1450.0
2,3.0,85,3.0,0,0,0,1,0,1,0,0,1450.0
2,1.0,100,4.0,1,1,1,1,1,0,1,0,1600.0
2,1.0,100,4.0,1,1,1,0,0,0,0,0,1450.0
2,5.0,85,4.0,1,1,1,1,0,1,0,0,1300.0
2,2.0,75,3.0,1,1,1,1,0,1,0,0,1400.0
2,9.0,80,3.0,1,1,1,0,0,0,0,0,1200.0
2,4.0,72,3.0,1,1,1,1,0,0,0,0,1350.0
2,3.0,80,3.0,1,1,1,0,0,0,0,0,1500.0
2,7.0,110,3.0,1,1,1,1,1,1,0,1,1700.0
2,6.0,116,4.0,1,1,1,1,1,1,0,1,1200.0
2,1.0,73,3.0,1,1,1,0,1,0,0,0,1700.0
